location_id,location_type,address,baidu_lat,baidu_lng,city,title,province_state,region,sales_phone,trt_id,country
taichungqingshuiserviceareasupercharger,"['supercharger', 'standard charger']",台中市清水区吳厝二街89号,24.2813890000,120.6020560000,台湾,台中－清水服务区超级充电站,台湾,asia_pacific,0809 007518,0,中国大陆
hsinchuhukouserviceareanorthboundsupercharger,"['supercharger', 'standard charger']",新竹县湖口乡荣光路158号,24.8622660000,121.0125760000,台湾,新竹 - 湖口服务区北向超级充电站,台湾,asia_pacific,0809 007518,0,中国大陆
hsinchuhukouserviceareasouthboundsupercharger,"['supercharger', 'standard charger']",新竹县湖口乡国强街1巷8号,24.8570600000,121.0086280000,台湾,新竹 - 湖口服务区南向超级充电站,台湾,asia_pacific,0809 007518,0,中国大陆
tainanyongkangamartsupercharger,"['supercharger', 'standard charger']",台南市永康区中正南路533号,23.0339812500,120.2282850000,台湾,台南 - 永康爱买超级充电站,台湾,asia_pacific,0809 007518,0,中国大陆
cnbs148,['bodyshop'],湖北省宜昌市伍家岗桔乡路491号,30.6835110000,111.3816140000,宜昌,宜昌昕晨汽车服务有限公司,湖北,asia_pacific, 0717-6976919,0,中国大陆
cnbs149,['bodyshop'],河北省邯郸市开发区邯临路与和谐大街交叉口西北角（时代物流城A馆）,36.6624560000,114.5680270000,邯郸,邯郸英龙汽车销售服务有限公司,河北,asia_pacific, 0310-5904440,0,中国大陆
cnbs150,['bodyshop'],江苏省扬州邗江区荷叶东路21号,32.4523630000,119.3940550000,扬州,扬州天泰达汽车贸易有限公司（施工改造中，正常营业）,江苏,asia_pacific, 0514-82765888,0,中国大陆
cndc1077258,['destination charger'],广东省江门市开平市楼岗大道40号之二,22.3843000000,112.6529800000,江门,开平邑涧0750营地目的地充电站(新国标),广东,asia_pacific, 0750-2222296,60085,中国大陆
cnbs151,['bodyshop'],江西省上饶市广信区旭日街道办三清山西大道58-16-1幢1单元202号,28.4628820000,117.9067510000,上饶,江西省星徽行汽车销售有限公司,江西,asia_pacific, 0793-8570188,0,中国大陆
dc1112375,"['destination charger', 'standard charger']",555南投县鱼池乡中兴路136号,23.8635685100,120.9070960000,台湾,南投日月潭教师会馆,台湾,asia_pacific,049 2855991,0,中国大陆
dc1112376,"['destination charger', 'standard charger']",366苗栗县铜锣乡九湖村铜科南路6号,24.4624011100,120.7712453000,台湾,台湾客家文化馆,台湾,asia_pacific,037 985558,0,中国大陆
dc1112378,"['destination charger', 'standard charger']",946屏东县恒春镇兴北路兴东巷9弄20号,22.0117242900,120.7265334000,台湾,Inn巷文创旅店,台湾,asia_pacific,0915151715,0,中国大陆
