name,site,lat,lng,areaShopTell,areaShopCity,areaShopCityCode,areaShopProvince,areaShopProvinceCode,shopServiceCategory,storeName
龙岗汽车城店邢台,襄都区龙岗东大街汽车城南区23号零跑汽车,37.116991,114.556906,0319-8909889,邢台市,130500,河北省,130000,"1,3,2,4,5",零跑中心
南海大道店海口,南海大道228号,19.995539,110.276249,0898-68610720,海口市,460100,海南省,460000,"1,2",体验中心
上邦百汇城店海口,海口市金龙路11号上邦百汇城商铺-1号楼一层P1-12-15、16号铺位,20.020634,110.323104,18689546998,海口市,460100,海南省,460000,"1,2",体验中心
星茂城店海口,长流镇长滨六路4号,20.0494,110.180372,18889973034,海口市,460100,海南省,460000,"1,2",体验中心
海甸城店海口,海甸岛二东路2号,20.04893,110.343097,18589551646,海口市,460100,海南省,460000,"1,2",体验中心
琼山大道店海口,琼山大道192号,20.014105534256917,110.4021193219757,,海口市,460100,海南省,460000,"5,4",服务中心
南海大道店海口,南海大道238号(海南宝之瑞汽车贸易有限公司),19.99541,110.270578,,海口市,460100,海南省,460000,"4,5",服务中心
高新万达店桂林,桂林市七星区穿山东路43号桂林高新万达广场室内步行街1F,25.242135,110.32015,18007884523,桂林市,450300,广西壮族自治区,450000,"1,2",体验中心
八里七路店桂林,桂林市八里街惠信汽车市场1栋9-10号,25.352932,110.308994,0773-2637329,桂林市,450300,广西壮族自治区,450000,"1,3,4,5,2",零跑中心
吾悦泡泡龙店桂林,临桂镇世纪西路以南、平桂路以东、凤凰路以西吾悦广场1楼1005铺面,25.248368,110.166949,19126100170,桂林市,450300,广西壮族自治区,450000,"1,2",体验中心
真龙汽车城店桂林,广西壮族自治区桂林市临桂区机场路北侧真龙汽车博览园D区2号,25.266060,110.173947,0773-3885589,桂林市,450300,广西壮族自治区,450000,"4,5",服务中心
吾悦广场店临沂,临沂市河东区吾悦广场主进门5号门1楼50米左侧,35.078849,118.391573,13953952705,临沂市,371300,山东省,370000,"1,2",体验中心
滨河万达店临沂,兰山办事处蒙山大道与滨河路交汇西50米路南滨河万达广场1层1060号,35.112054,118.311427,19953961117,临沂市,371300,山东省,370000,"1,2",体验中心
泰盛广场店临沂,解放路88号泰盛广场二期1F层122-125号商铺,35.069055,118.329802,13954913337,临沂市,371300,山东省,370000,"1,2",体验中心
齐鲁吾悦广场店临沂,北城新区齐鲁吾悦广场东门（必胜客邻）1020-1商铺,34.972803,118.289681,17661115387,临沂市,371300,山东省,370000,"1,2",体验中心
沂河路店临沂,沂河路与沂州路交汇处向西300米路南,35.016106,118.354365,,临沂市,371300,山东省,370000,"4,5",服务中心
聚才路店临沂,临西五路与聚才路交汇西150米路北鲁南汽车城南门院内圆形水池西30米,35.098862,118.310701,,临沂市,371300,山东省,370000,"4,5",服务中心
滨湖爱琴海店合肥,滨湖区庐州大道与中山路交口爱琴海购物中心1025商铺 ,31.733492,117.301337,18297900856,合肥市,340100,安徽省,340000,"1,2",体验中心
北城万达店合肥,北城万达广场1F1071商铺,31.971071,117.263369,13721071716,合肥市,340100,安徽省,340000,"1,2",体验中心
东城店合肥,合肥市肥东经济开发区包公大道与镇西路交口西北角,31.89,117.43,0551-67895777,合肥市,340100,安徽省,340000,"3,4,5,1,2",零跑中心
蜀山天鹅湖万达店合肥,安徽省合肥市蜀山区南二环路3818号合肥天鹅湖万达广场1-8幢4-商178等42套房,31.82,117.22,0551-67895777,合肥市,340100,安徽省,340000,"1,2",体验中心
弘阳广场店合肥,长江西路478号弘阳广场4层05-2号商铺,31.852211,117.237524,0551-65103669,合肥市,340100,安徽省,340000,"1,2",体验中心
漫乐城店合肥,漫乐城购物广场1F119B,31.835108,117.286126,15156002073,合肥市,340100,安徽省,340000,"1,2",体验中心
